"id_hogar","id_viajes","miembro","anio","trimestre","region_origen","aglomerado_origen","region_destino","provincia_destino","localidad_destino","cod_loc_2001","codigo_2001","codigo_2010","cod_prov_2010","cod_depto_2010","cod_loc_2010","pondera","tipo_visitante","cantidad_destinos","multidestino","px06","px06_agrup","px07","px07_agrup","px08","px08_agrup","px09","px10_1","px11","px12_1","px12_2","px12_3","px12_4","px12_5","px12_6","px12_7","px12_8","px13","px14","px15_1","px15_2","px15_3","px15_4","pxb16_1_1","pxb16_1_2","pxb16_1_3","pxb16_1_4","pxb16_1_5","pxb16_1_6","pxb16_1_7","pxb16_1_9","pxb16_2","px17_1","px17_2_1","px17_2_2","px17_2_3","px17_2_4","px17_2_5","px17_2_6","px17_2_7","px17_2_8","px17_2_9","px17_2_10","px17_2_11","px17_2_12","px17_2_13","px18_1","px18_2","px18_3","px18_4","px18_5","px18_6","px18_7","gasto_pc","quintil_pcf_visitante","p002","p004","p005","p006","p006_agrup","p007","nivel_ed","cond_act","p013","j_sexo","j_edad","j_nivel_ed","j_cond_act"
230886,61201,1,2019,1,7,10,3,6,"Sierra de la Ventana",800,"06819030","06819030","06","819","030",303,1,1,1,5,3,14,3,3,2,1,1,2,10,10,10,10,10,10,10,10,3,2,10,10,10,10,1,1,1,2,1,1,1,1,3,,2,2,2,,2,2,2,2,2,2,2,2,2,6,100,8,7,8,8,7,7000,5,5,1,2,54,4,2,9,1,1,2,3,4,1
230886,61201,2,2019,1,7,10,3,6,"Sierra de la Ventana",800,"06819030","06819030","06","819","030",303,1,1,1,5,3,14,3,3,2,1,1,2,10,10,10,10,10,10,10,10,3,2,10,10,10,10,1,1,1,2,1,1,1,1,3,,2,2,2,,2,2,2,2,2,2,2,2,2,6,100,8,7,8,8,7,7000,5,5,2,1,43,3,2,5,3,1,2,3,4,1
230886,61201,3,2019,1,7,10,3,6,"Sierra de la Ventana",800,"06819030","06819030","06","819","030",303,1,1,1,5,3,14,3,3,2,1,1,2,10,10,10,10,10,10,10,10,3,2,10,10,10,10,1,1,1,2,1,1,1,1,3,,2,2,2,,2,2,2,2,2,2,2,2,2,6,100,8,7,8,8,7,7000,5,5,3,2,25,2,1,6,1,1,2,3,4,1
230886,61201,4,2019,1,7,10,3,6,"Sierra de la Ventana",800,"06819030","06819030","06","819","030",303,1,1,1,5,3,14,3,3,2,1,1,2,10,10,10,10,10,10,10,10,3,2,10,10,10,10,1,1,1,2,1,1,1,1,3,,2,2,2,,2,2,2,2,2,2,2,2,2,6,100,8,7,8,8,7,7000,5,5,3,2,22,2,1,8,3,1,2,3,4,1
230886,61201,5,2019,1,7,10,3,6,"Sierra de la Ventana",800,"06819030","06819030","06","819","030",303,1,1,1,5,3,14,3,3,2,1,1,2,10,10,10,10,10,10,10,10,3,2,10,10,10,10,1,1,1,2,1,1,1,1,3,,2,2,2,,2,2,2,2,2,2,2,2,2,6,100,8,7,8,8,7,7000,5,5,3,1,25,2,1,8,1,1,2,3,4,1
230887,92201,1,2019,1,7,10,7,50,"Potrerillos",100,"50063110","50063110","50","063","110",733,2,1,1,1,1,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,,,,,,,,1500,5,1,1,1,72,5,2,5,3,2,1,4,3,3
230889,91201,1,2019,1,7,10,7,50,"Potrerillos",100,"50063110","50063110","50","063","110",3974,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,,,,,,,,133.333333333333,3,3,1,2,37,3,2,9,1,2,2,2,4,1
230889,91201,2,2019,1,7,10,7,50,"Potrerillos",100,"50063110","50063110","50","063","110",3974,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,,,,,,,,133.333333333333,3,3,3,2,5,1,,0,4,2,2,2,4,1
230889,91201,3,2019,1,7,10,7,50,"Potrerillos",100,"50063110","50063110","50","063","110",3974,2,1,1,3,2,0,,0,0,1,1,,,,,,,,,,,2,10,10,10,10,,,,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,,,,,,,,133.333333333333,3,3,3,2,5,1,,0,4,2,2,2,4,1
230892,61201,1,2019,1,7,10,3,6,"Villa Gesell",862,"06868020","06868020","06","868","020",659,1,1,1,2,1,7,2,7,5,2,1,1,9,9,9,9,9,9,9,9,3,2,10,10,10,10,2,2,1,1,1,1,1,1,3,,2,2,1,,2,2,2,2,2,2,2,2,2,10,7,9,9,9,9,9,7000,5,2,1,1,68,5,2,9,3,2,1,4,4,3
